contrast	result_id	doc_name	pair_1	pair_2	pair_3	pair_4	interaction_term
rob.tory.good.bad	observed	master_doc30.txt	0.5368	0.6381	0.2515	0.1899	-0.16289999999999993
rob.tory.good.bad	boot_1	master_doc30.txt	0.3246	0.5533	0.0374	0.0599	-0.2062
rob.tory.good.bad	boot_2	master_doc30.txt	0.3997	0.5556	0.2827	0.2192	-0.21939999999999998
rob.tory.good.bad	boot_3	master_doc30.txt	0.4031	0.6194	0.1598	0.1276	-0.24849999999999994
rob.tory.good.bad	boot_4	master_doc30.txt	0.4141	0.4365	0.1192	0.1147	-0.02689999999999998
rob.tory.good.bad	boot_5	master_doc30.txt	0.3781	0.5808	0.1056	0.1518	-0.15650000000000003
rob.tory.good.bad	boot_6	master_doc30.txt	0.4215	0.5307	0.137	0.1515	-0.09469999999999998
rob.tory.good.bad	boot_7	master_doc30.txt	0.4303	0.5261	0.0506	0.0427	-0.1037
rob.tory.good.bad	boot_8	master_doc30.txt	0.3165	0.6463	0.0793	0.1147	-0.2944
rob.tory.good.bad	boot_9	master_doc30.txt	0.4619	0.5423	0.3288	0.2349	-0.1743
rob.tory.good.bad	boot_10	master_doc30.txt	0.2141	0.4494	0.0209	0.0378	-0.21839999999999998
rob.tory.good.bad	boot_11	master_doc30.txt	0.4265	0.4738	0.0962	0.0664	-0.07710000000000002
rob.tory.good.bad	boot_12	master_doc30.txt	0.5131	0.534	0.1612	0.1584	-0.023700000000000027
rob.tory.good.bad	boot_13	master_doc30.txt	0.4773	0.4572	0.2797	0.1892	-0.07039999999999999
rob.tory.good.bad	boot_14	master_doc30.txt	0.3086	0.5888	-0.0038	0.0679	-0.20849999999999996
rob.tory.good.bad	boot_15	master_doc30.txt	0.5275	0.5276	0.1815	0.1437	-0.03789999999999999
rob.tory.good.bad	boot_16	master_doc30.txt	0.4627	0.4992	0.1172	0.1078	-0.04589999999999997
rob.tory.good.bad	boot_17	master_doc30.txt	0.4865	0.4393	0.2532	0.1054	-0.10060000000000002
rob.tory.good.bad	boot_18	master_doc30.txt	0.4636	0.595	0.3428	0.2789	-0.19529999999999997
rob.tory.good.bad	boot_19	master_doc30.txt	0.4973	0.4671	0.1931	0.1102	-0.05269999999999998
rob.tory.good.bad	boot_20	master_doc30.txt	0.4595	0.4006	0.1648	0.1101	0.004200000000000009
rob.tory.good.bad	boot_21	master_doc30.txt	0.5322	0.5647	0.0628	0.0496	-0.04569999999999997
rob.tory.good.bad	boot_22	master_doc30.txt	0.5181	0.5103	0.3254	0.1936	-0.124
rob.tory.good.bad	boot_23	master_doc30.txt	0.4102	0.568	0.2033	0.2302	-0.1309
rob.tory.good.bad	boot_24	master_doc30.txt	0.3811	0.6337	0.1715	0.2057	-0.21840000000000004
rob.tory.good.bad	boot_25	master_doc30.txt	0.509	0.4577	0.1619	0.0981	-0.01249999999999997
rob.tory.good.bad	boot_26	master_doc30.txt	0.3049	0.5441	0.1412	0.1825	-0.19790000000000002
rob.tory.good.bad	boot_27	master_doc30.txt	0.4954	0.6088	0.2049	0.1622	-0.15610000000000002
rob.tory.good.bad	boot_28	master_doc30.txt	0.343	0.5631	0.1002	0.1154	-0.20490000000000003
rob.tory.good.bad	boot_29	master_doc30.txt	0.4316	0.3506	0.1901	0.0623	-0.04680000000000003
rob.tory.good.bad	boot_30	master_doc30.txt	0.3923	0.5142	0.123	0.1021	-0.1428
rob.tory.good.bad	boot_31	master_doc30.txt	0.462	0.5117	0.1717	0.1505	-0.07090000000000002
rob.tory.good.bad	boot_32	master_doc30.txt	0.4636	0.553	0.2146	0.1763	-0.12770000000000004
rob.tory.good.bad	boot_33	master_doc30.txt	0.368	0.5708	0.0364	0.15	-0.08919999999999997
rob.tory.good.bad	boot_34	master_doc30.txt	0.4109	0.5681	0.1164	0.1411	-0.13250000000000006
rob.tory.good.bad	boot_35	master_doc30.txt	0.3643	0.4995	0.1285	0.2291	-0.03459999999999999
rob.tory.good.bad	boot_36	master_doc30.txt	0.4296	0.4342	0.1356	0.0905	-0.049699999999999994
rob.tory.good.bad	boot_37	master_doc30.txt	0.5505	0.4729	0.1512	0.1015	0.027900000000000008
rob.tory.good.bad	boot_38	master_doc30.txt	0.424	0.5558	0.1045	0.0392	-0.19709999999999994
rob.tory.good.bad	boot_39	master_doc30.txt	0.3526	0.4335	0.2057	0.1681	-0.11849999999999997
rob.tory.good.bad	boot_40	master_doc30.txt	0.4689	0.4887	0.2266	0.1578	-0.08860000000000004
rob.tory.good.bad	boot_41	master_doc30.txt	0.3452	0.4988	0.0039	0.049	-0.1085
rob.tory.good.bad	boot_42	master_doc30.txt	0.3911	0.3256	0.2234	0.1052	-0.05269999999999998
rob.tory.good.bad	boot_43	master_doc30.txt	0.442	0.4391	0.2153	0.148	-0.06439999999999999
rob.tory.good.bad	boot_44	master_doc30.txt	0.2635	0.5117	0.0653	0.1399	-0.1736
