contrast	result_id	doc_name	pair_1	pair_2	pair_3	pair_4	interaction_term
pro-russia.pro-ukraine.good.bad	observed	master_doc8.txt	0.0237	0.032	-0.0021	0.1352	0.12899999999999998
pro-russia.pro-ukraine.good.bad	boot_1	master_doc8.txt	-0.0165	0.0046	-0.0115	0.1605	0.1509
pro-russia.pro-ukraine.good.bad	boot_2	master_doc8.txt	-0.0438	-0.089	-0.0782	-0.0529	0.07050000000000001
pro-russia.pro-ukraine.good.bad	boot_3	master_doc8.txt	0.0649	0.0204	0.0296	0.4404	0.45530000000000004
pro-russia.pro-ukraine.good.bad	boot_4	master_doc8.txt	0.0396	-0.0305	0.0194	0.1303	0.181
pro-russia.pro-ukraine.good.bad	boot_5	master_doc8.txt	-0.0177	0.0117	0.0204	0.2363	0.1865
pro-russia.pro-ukraine.good.bad	boot_6	master_doc8.txt	0.0957	0.0386	0.0392	0.0104	0.028299999999999992
pro-russia.pro-ukraine.good.bad	boot_7	master_doc8.txt	-0.0029	-0.0232	-0.0335	0.0252	0.079
pro-russia.pro-ukraine.good.bad	boot_8	master_doc8.txt	-0.0186	0.015	0.0123	-0.0545	-0.10039999999999999
pro-russia.pro-ukraine.good.bad	boot_9	master_doc8.txt	-0.0081	-0.0874	0.0127	-0.1627	-0.0961
pro-russia.pro-ukraine.good.bad	boot_10	master_doc8.txt	0.0074	0.1127	0.006	0.1449	0.033600000000000005
pro-russia.pro-ukraine.good.bad	boot_11	master_doc8.txt	0.0302	0.0267	-0.0097	0.2234	0.23659999999999998
pro-russia.pro-ukraine.good.bad	boot_12	master_doc8.txt	-0.0032	-0.0208	-0.0729	-0.0691	0.021400000000000002
pro-russia.pro-ukraine.good.bad	boot_13	master_doc8.txt	0.0721	0.0615	0.0213	0.1055	0.0948
pro-russia.pro-ukraine.good.bad	boot_14	master_doc8.txt	0.0822	0.1046	0.1112	0.1962	0.06260000000000002
pro-russia.pro-ukraine.good.bad	boot_15	master_doc8.txt	0.0365	-0.0152	0.0274	0.0177	0.041999999999999996
pro-russia.pro-ukraine.good.bad	boot_16	master_doc8.txt	0.0471	-0.0488	0.0686	-0.0247	0.002600000000000019
pro-russia.pro-ukraine.good.bad	boot_17	master_doc8.txt	-0.0175	0.019	0.0172	0.0732	0.019499999999999997
pro-russia.pro-ukraine.good.bad	boot_18	master_doc8.txt	-0.0242	-0.0217	-0.0563	0.0739	0.12769999999999998
pro-russia.pro-ukraine.good.bad	boot_19	master_doc8.txt	0.0493	-0.0546	0.0212	-0.0113	0.07139999999999999
pro-russia.pro-ukraine.good.bad	boot_20	master_doc8.txt	0.0087	0.03	-0.023	0.1245	0.1262
pro-russia.pro-ukraine.good.bad	boot_21	master_doc8.txt	0.0531	0.001	0.0462	0.1157	0.1216
pro-russia.pro-ukraine.good.bad	boot_22	master_doc8.txt	-0.0338	-0.0685	-0.003	0.107	0.1447
pro-russia.pro-ukraine.good.bad	boot_23	master_doc8.txt	0.0344	0.1214	-0.0045	0.3181	0.2356
pro-russia.pro-ukraine.good.bad	boot_24	master_doc8.txt	-0.0375	0.0002	-0.0108	0.1088	0.0819
pro-russia.pro-ukraine.good.bad	boot_25	master_doc8.txt	0.0311	0.1164	-0.0725	0.1315	0.1187
pro-russia.pro-ukraine.good.bad	boot_26	master_doc8.txt	-0.0473	-0.0201	-0.0182	0.0579	0.0489
pro-russia.pro-ukraine.good.bad	boot_27	master_doc8.txt	-0.0089	0.0454	0.0074	0.1437	0.08199999999999999
pro-russia.pro-ukraine.good.bad	boot_28	master_doc8.txt	-0.0079	0.0241	-0.0157	0.1273	0.11099999999999999
